Name,,Acreage,Price Per Acre,Website,Instagram,Facebook,State,Region,Nickname,Opening Paragraph,About Paragraph,Review Paragraph,Owner,Ticket Price Adult,Ticket Price Youth,Ticket Price Senior,Rental,Ticket Price Other,Multi-Mountain Pass,Major Cities,Vertical Drop,Base Altitude,Peak Altitude,Trails Total,Trails Beginner,Trails Intermediate ,Trails Expert,Trails Advanced,Terrain Park,Lifts,lifts comment,Skiable Acres,Longest Run,Snow Making,Annual Snowfall,Operating Hours: Weekdays,Operating Hours: Weekends,Opening Date,Closing Date,Days Open,Resort Lodging,Night Skiing,Tubing Park,Dining,Off Piste
Bear Creek,Bear Creek Mountain Resort Ski Slopes,53.25,$1.11,https://www.bcmountainresort.com/,https://www.instagram.com/bear_creek/,https://www.facebook.com/BearCreekMountainResort/,PA,Reading Prong (Hudson Highlands),Leigh Valley Haven,"Nestled in the scenic Longswamp Township of Berks County, Pennsylvania, Bear Creek Mountain Resort, formerly known as Doe Mountain until 1999, has been a cherished destination for winter sports enthusiasts since its opening in 1967. This year-round resort sprawls across over 330 acres, offering a diverse range of activities and amenities to cater to visitors throughout the seasons. With a summit elevation of 1,100 feet and a vertical elevation change of 510 feet, Bear Creek Mountain provides 86 acres of skiing terrain, featuring 21 slopes serviced by seven lifts, including night skiing and snow tubing options. The resort, conveniently situated as the only ski destination in the Lehigh Valley and the closest to the Delaware Valley, enjoys an annual average snowfall of 30 inches, making it a sought-after winter haven for both local and regional winter sports enthusiasts.",,"Bear Creek's Google reviews present a mixed bag, highlighting both its strengths and weaknesses. Many reviewers praise the resort's convenient location, affordable prices, and family-friendly atmosphere. Families appreciate the gentle slopes, snowmaking capabilities, and variety of activities, making it a perfect winter getaway for all ages. However, some skiers express disappointment with the limited terrain for advanced levels, occasional lift line wait times, and outdated facilities. Additionally, some reviewers mention inconsistencies in snow quality and a need for improved grooming. Overall, Bear Creek appears best suited for families and budget-conscious skiers seeking a convenient and affordable winter escape. While advanced skiers and those seeking a more modern experience might find it lacking, the resort's family-friendly focus and value propositions contribute to its positive reputation'",Southern Management Companies,$59,50,50,62,Free For those below 5 and above 70 ,None,Philadelphia 1 hr New York City 2 hrs,510,600,1100,23,12,7,4,0,4,6,"3 Quad, 1 Triple 2 Carpet",86,2900 feet,100%,30 in,9AM-9PM,9AM-9PM,Late December,Mid-March,90,Yes,Yes,Yes,"Sit down, Cafeteria, and Bar",No
Big Boulder,Big Boulder Ski Resort Area,48.17,$1.52,https://www.jfbb.com/,https://www.instagram.com/skijfbb/,https://www.facebook.com/skiJFBB/,PA,Poconos,The Snowmaking Pioneer,"Nestled in the scenic Pocono Mountains of Pennsylvania, Big Boulder Ski Resort stands as a cherished winter retreat celebrated for its family-oriented ambiance and exciting outdoor pursuits. Boasting an annual average snowfall of approximately 50 inches and advanced snowmaking facilities, it ensures dependable snow conditions for both skiing and snowboarding enthusiasts. Additionally, the proximity of Jack Frost & Big Boulder Mountain resorts, just minutes apart, grants visitors a unique opportunity to enjoy two parks for the price of one. Big Boulder primarily operates during the afternoons and evenings, enabling guests to kick off their day with skiing at Jack Frost, savor a meal, and then transition to Big Boulder for some afternoon and evening runs.","Josiah White and Erskine Hazzard, key figures in the anthracite coal mining industry, co-founded the Lehigh Coal and Navigation Company, where they developed the world’s inaugural iron-wire suspension bridge and an efficient river navigation system to transport coal to Philadelphia. By 1840, the company employed over 1,000 individuals across numerous manufacturing facilities. At its zenith in 1919, the company boasted 11,000 employees and produced 5 million tons of coal annually. In 1942, employees constructed the Split Rock Club, including Split Rock Lodge and Hazzard ski slope, as a company retreat. The lodge was later sold in 1947, with Hazzard ski slope subsequently becoming known as the Big Boulder Ski Area, marking Pennsylvania’s first commercial ski resort and the site of the initial successful application of snowmaking technology in such a setting","Big Boulder's Google reviews present a mixed picture, highlighting both its strengths and weaknesses. Many skiers and snowboarders praise the resort's extensive snowmaking capabilities, ensuring consistent snow cover throughout the season, and the diverse terrain offering something for all skill levels. Families appreciate the beginner-friendly slopes, dedicated tubing park, and festive atmosphere, making it a popular choice for winter getaways. However, some reviewers express frustration with long lift lines, particularly during peak season, and the resort's perceived focus on beginner and intermediate skiers, potentially leaving seasoned skiers wanting more. Additionally, concerns regarding outdated facilities and limited dining options emerge occasionally. Overall, Big Boulder appears to cater well to families and skiers seeking a budget-friendly and enjoyable winter experience, while advanced skiers and those seeking a more modern resort might find it lacking in specific areas.",Vail Resorts,$73,99,73,64,Includes access to Jack Frost,Epic,Philadelphia 2 hrs New York City 2 hrs,475,1700,2175,15,4,3,3,0,1,9,"2 triples, 5 doubles, 1 carpet, 2 carpet ",55,2900 feet,100%,50 in,3PM-8PM,8:30AM-8PM,"Early December
","Late March/Early April
",100,No,Yes,Yes,Cafeteria and Bar,No
Blue Knob,Blue Knob,85.47,$1.29,https://blueknob.com/,https://www.instagram.com/blueknoballseasonsresort,https://www.facebook.com/BlueKnobAllSeasonsResort/,PA,Allegheny Mountains,,"Perched atop the highest peak in Pennsylvania, Blue Knob Ski Resort beckons winter enthusiasts with a captivating blend of exhilarating slopes and warm, family-friendly vibes. Averaging 50 inches of natural snowfall annually, enhanced by state-of-the-art snowmaking, Blue Knob guarantees a season of pristine slopes for skiers and snowboarders alike. With a diverse terrain offering challenging steeps, gentle beginner trails, and a dedicated snow tubing park, the resort caters to every skill level. But the allure of Blue Knob extends far beyond the slopes. Its cozy atmosphere, friendly staff, and charming village atmosphere create a haven for families and friends to forge lasting memories. Whether it's enjoying a delectable meal at the Summit Lodge, warming up with a hot cocoa in the fireside lounge, or sharing stories of the day's adventures, Blue Knob offers a winter escape that nourishes both body and soul.",,"Blue Knob's Google reviews offer a mixed perspective, highlighting both its strengths and weaknesses. Many reviewers praise the resort's challenging terrain, particularly the black diamond runs, and the pristine snow conditions thanks to its high elevation and efficient snowmaking capabilities. Experienced skiers and snowboarders appreciate the expansive slopes, long runs, and variety of terrain, making it a haven for those seeking thrills. However, some reviewers express concerns regarding the lack of beginner-friendly slopes and limited amenities, making it less suitable for families. Additionally, issues with lift lines, particularly during peak season, and the perceived lack of investment in modernizing facilities are mentioned occasionally. Overall, Blue Knob appears best suited for experienced skiers seeking challenging terrain and pristine snow conditions, while families and those seeking a more modern and beginner-friendly experience might find it lacking in specific areas.",Sustainable Hospitality and Development,$110,105,105,45/55,,Indy,,1072,2074,3146,34,,,,,,6,"2 triple, 2 double, 2 surface",400,2,30%,120 in,10 am - 7/8/9 pm,9am - 8/10pm,"Early December
","Late March
",105,Yes,75%,Yes,Cafeteria and Bar,yes
Blue Mountain,Blue Mountain Resort,127.73,$0.72,https://www.skibluemt.com/,https://www.instagram.com/bluemtresort,https://www.facebook.com/SkiBlueMt/,PA,Poconos,,"Cradled in the majestic Poconos Mountains, Blue Mountain Resort rises as a haven of winter escapades and opulent relaxation. Its slopes, boasting the highest vertical drop in Pennsylvania, offer a thrilling playground for skiers and snowboarders of all levels. Expert skiers can carve their way down challenging black diamond runs, while beginners can find their confidence on the gentle slopes designed for honing their skills. But Blue Mountain is more than just a snow-covered playground. It's a haven for indulging in luxury and creating unforgettable memories. Nestled amidst the vibrant Village at Blue, guests can discover a plethora of restaurants serving delectable cuisine, cozy lodges offering rejuvenating spa treatments, and shops brimming with unique treasures. Whether you're seeking an adrenaline-fueled day on the slopes or a restful escape amidst breathtaking mountain scenery, Blue Mountain promises an experience that surpasses expectations.",,"
Blue Mountain's Google reviews paint a mostly positive picture, highlighting its diverse terrain, family-friendly atmosphere, and abundance of amenities, since its acquisition by BMR Resort, a company affiliated with KSL Capital Partners, in 2021. Reviewers consistently praise the variety of slopes for all skill levels, from gentle beginner areas to challenging expert runs, ensuring everyone can find their ideal run. Families appreciate the dedicated beginner areas, snowmaking capabilities, and abundance of activities beyond skiing, making it a perfect winter getaway for all ages. However, some reviewers express frustration with occasional lift lines, particularly during peak season, and the perceived focus on attracting large crowds, which can impact the overall experience. Additionally, concerns regarding the cost of lift tickets and some outdated facilities emerge occasionally. Overall, Blue Mountain appears to cater well to families and skiers of all levels seeking a diverse and enjoyable winter experience, while those seeking a more intimate and budget-friendly resort might find it lacking in specific areas.",BMR Resort(KSL Capital Partners) Alterra,$92,92,92,50,Ticket are dynamically priced,Ikon,,1082,460,1600,40,,,,,,17,"1 sixes, 2 quads, 1 triple, 3 double, 9 surface",164,1.2,100%,33 in,9am – 9pm,9am – 9pm,"Early December
","Late March
",120,No,Yes,Yes,Cafeteria and Sports Bar,No
Boyce Park Slopes,Boyce Park Ski Area,13.17,$1.90,https://www.alleghenycounty.us/parks/activities/winter-sports/skiing-and-snowboarding.aspx,https://www.instagram.com/boyce_park_ski_area/,https://www.facebook.com/AlleghenyCountyParks,PA,Allegheny Plateau,,"Just a short drive from the vibrant city of Pittsburgh, Boyce Park Slopes offers a convenient and affordable escape for winter enthusiasts of all ages. Nestled amidst the rolling hills of Allegheny County, the slopes boast a vertical drop of 180 feet, offering a fun challenge for beginner and intermediate skiers and snowboarders. Beginners can find their confidence on the gentle slopes and dedicated learning areas, while more experienced skiers can enjoy the exhilaration of the longest run of 1,200 feet. And for those seeking non-traditional thrills, Boyce Park features a dedicated snow tubing area, perfect for families and groups of friends looking for a unique winter adventure. With affordable lift ticket prices and convenient amenities, Boyce Park Slopes makes winter fun accessible to everyone, creating unforgettable memories within the picturesque Pittsburgh landscape.",,"the experience seems to be mixed. Some reviewers praise its affordability, convenient location, and family-friendly atmosphere. Parents appreciate the gentle slopes, dedicated beginner area, and affordable prices, making it a perfect place to introduce children to skiing. However, others express concerns about the limited terrain for advanced skiers, the short runs, and inconsistencies in snowmaking and grooming. Additionally, some reviews mention occasional lift line wait times and outdated facilities.",Allegheny County Parks,$25,25,25,25,,None,,,,,,,,,,,2,"1 chair, 1 surafce",,,,36 in,3:30 - 9:00 pm,9 am - 6:30 or 9 pm,December,March,,No,Yes,Yes,cafeteria,no
Camelback,Camelback Mountain Resort,122.55,$0.94,https://www.camelbackresort.com/,https://www.instagram.com/skicamelback/,https://www.facebook.com/SkiCamelback/,PA,Poconos,,"Nestled amongst the stunning Pocono Mountains, Camelback Mountain Resort serves as a winter wonderland for families and adventure seekers alike. Boasting 39 trails and 166 skiable acres, Camelback caters to all skill levels, from seasoned veterans carving down expert slopes to novices taking their first steps on the snow. The consistent snowfall, averaging 50 inches annually, and advanced snowmaking facilities guarantee pristine conditions throughout the season. But Camelback's magic isn't limited to the slopes. The resort boasts the largest snow tubing park in the United States, offering exhilarating rides for the whole family. Adventurous spirits can test their limits on the thrilling mountain coaster and 4,000-foot ziplines. And after a day of winter fun, guests can unwind in luxurious accommodations, indulge in delicious dining experiences, and create memories that will last a lifetime. Camelback is your one-stop shop for winter adventures, offering something for everyone to enjoy.",,"Many reviewers appreciate the resort's diverse terrain, catering to all skill levels, from gentle beginner slopes to challenging advanced runs. Families commend the abundance of activities beyond skiing, including the indoor waterpark and other winter attractions, making it a perfect all-season destination. However, some reviewers express frustration with long lift lines, particularly during peak season, and the perceived emphasis on commercialization and crowds, potentially impacting the overall experience. Additionally, concerns regarding the cost of lift tickets, parking, and some outdated facilities emerge occasionally. Overall, Camelback appears to cater well to families seeking a diverse and exciting winter experience, while those seeking a more intimate and budget-friendly resort might find it lacking in specific areas.",(KSL Capital Partners) Alterra,$115,115,115,$46,,Ikon,,800,1250,2100,49,,,,,,16,"1 sixes, 1 quad, 3 triples, 5 doubles, 6 surface",160,1,100%,50 in,9 am to 9 pm,9 am to 9 pm,December,Late March,100,Yes,Yes,Yes,,No
Eagle Rock,Eagle Rock Ski Resort,23.41,$0.00,https://ddresorts.com/eagle-rock/on-property/snow-sports/,,https://www.facebook.com/EagleRockResort/,PA,Poconos,,"Nestled amidst the scenic Blue Mountains, Eagle Rock Resort offers a private haven for discerning guests. This exclusive ski area, reserved for property owners and their guests, boasts 12 lighted slopes, from gentle beginner runs to challenging black diamonds, all with breathtaking mountain views. Beyond the slopes, cozy lodges, fine dining, a spa, a championship golf course, and hiking trails offer the perfect blend of luxury and adventure for a memorable winter escape",,"Eagle Rock Resort offers a unique ski experience for its HOA members and invited guests. This exclusivity translates to a serene escape from lift lines and crowded slopes, allowing skiers to enjoy the vast terrain at their own pace. However, a recent shift in focus has replaced the beginner lift with an ATV ride, catering to a more experienced skier base. This decision, coupled with the resort's outdated snowmaking infrastructure, has unfortunately left over half of the ski slopes abandoned, yearning for their former glory. Despite these limitations, Eagle Rock Resort maintains a loyal following among its members who appreciate the exclusivity and serenity it offers.",Double Diamond Resorts,$0,0,0,35,HOA members and guests only,Private,,,,,7,,,,,,2,2 doubles and an ATV,,,100%,,9 am - 4 pm,9 am - 5 pm,December,Early March,80,No,No,Yes,Cafeteria and Sports Bar,No
Elk Mountain,Elk Mountain Ski Resort,116.31,$0.81,https://www.elkskier.com/,https://www.instagram.com/elkmountainpa,https://www.facebook.com/p/Elk-Mountain-Ski-Resort-Inc-100064523206594/,PA,Allegheny Plateau,,"Tucked away in the heart of Pennsylvania's Endless Mountains, Elk Mountain Ski Resort beckons winter enthusiasts with its diverse terrain and exhilarating slopes. With an elevation of 2,100 feet and an average snowfall of 50 inches, Elk Mountain boasts a variety of trails for skiers and snowboarders of all skill levels. Beginners can find their footing on gentle slopes under the guidance of experienced instructors, while seasoned adventurers can conquer challenging black diamond runs. From breathtaking panoramic views to thrilling descents, Elk Mountain offers a truly unforgettable winter experience.",,"Elk Mountain's Google reviews paint a complex picture, revealing a hidden gem with both passionate advocates and frustrated visitors. While some praise the well-maintained trails, diverse terrain, and nostalgic atmosphere, others criticize the antiquated facilities, limited amenities, and inconsistent snowmaking. Notably, reviews highlight the lack of crowds and long lift lines, a unique advantage due to Elk Mountain's primarily local clientele. However, the absence of beginner-friendly slopes and the removal of the ""Bunny Hill"" deter some families. Overall, Elk Mountain presents a trade-off: a charming and affordable experience for seasoned skiers willing to embrace a slower pace and overlook outdated facilities, but potentially less suitable for beginners and families seeking a more modern and resort-like atmosphere.",Moore Family,$94,80,80,50,,None,,,,,27,,,,,,7,"1 quad, 5 double, 1 cable tow",180,1.75,100%,65 in,8:30 am - 4:30 pm,8:30 am - 9 pm,December,Late March,100,No,Yes,No,Cafeteria and Sports Bar,No
Hidden Valley,Hidden Valley Resort,95.94,$0.94,https://www.hiddenvalleyresort.com/,https://www.instagram.com/hvresortpa/,https://www.instagram.com/hvresortpa/,PA,Laurel Highlands,,"Nestled amidst the rolling hills of the Laurel Highlands, Hidden Valley Ski Resort transforms into a winter wonderland each year. With an average snowfall of 150 inches, further enhanced by state-of-the-art snowmaking facilities, pristine slopes are guaranteed throughout the season. The resort boasts 26 trails catering to all skill levels, from gentle beginner slopes to challenging black diamonds, ensuring an exhilarating experience for every skier and snowboarder.",,"Hidden Valley Resort's Google reviews showcase a split personality, highlighting its potential for both family fun and seasoned skiers. Families praise the gentle slopes, affordable prices, and friendly atmosphere, particularly commending the dedicated children's programs and welcoming staff. However, seasoned skiers lament the limited challenging terrain and short runs, finding the experience underwhelming. While some reviewers appreciate the focus on beginner and intermediate skiers, others express disappointment at the lack of investment in advanced terrain and facilities. Notably, opinions diverge regarding the food options, with some raving about the pub's atmosphere and others criticizing the limited options and high prices. Overall, Hidden Valley appears well-suited for families seeking a budget-friendly introduction to skiing, but seasoned skiers might find themselves yearning for more challenging slopes and a more upscale experience.",Vail Resorts,$90,71,56,55,,Epic,,470,2405,2875,,,,,,,11,"2 quads, 2 triple, 1 double, 6 surface",110,1.5,100%,140 in,10 am – 4 or 9 pm,9 am - 7 or 9 pm,Late December,March,100,Yes,Yes,No,Cafeteria and Sports Bar,Yes
Jack Frost,Jack Frost Mountain Ski Area,76.92,$0.95,https://www.jfbb.com/,https://www.instagram.com/skijfbb/,https://www.instagram.com/skijfbb/,PA,Poconos,,"mmerse yourself in the winter wonderland of Jack Frost Mountain Resort, nestled amongst the majestic Pocono Mountains. Whether you're a seasoned skier carving down thrilling black diamonds, a beginner finding your balance on gentle slopes, or a family seeking fun together, Jack Frost offers an unforgettable winter experience tailored to every skill level.",,"Jack Frost's Google reviews reveal a mixed bag of experiences since its acquisition by Vail Resorts in 2019. While some praise the improvements in snowmaking, grooming, and staffing, others lament the price hikes, longer lift lines, and perceived focus on profits over guest experience. Families appreciate the beginner-friendly terrain and dedicated children's programs, while experienced skiers find the lack of challenging slopes and limited terrain variety disappointing. Concerns about outdated facilities and inconsistency in customer service also emerge occasionally. Notably, some reviewers express hope that Vail's investment will lead to further improvements and a return to the resort's former charm, while others remain skeptical about the direction the resort is taking. Overall, Jack Frost's post-acquisition experience highlights the challenges of balancing modernization with preserving the character of a beloved local resort.",Vail Resorts,$73,99,73,64,Includes access to Jack Frost,Epic,Philadelphia 2 hrs New York City 2 hrs,600,1400,2000,20,,,,,1,9,,,,,50 in,9 AM-4 PM,8:30 AM-4 PM,"Early December
","Late March/Early April
",100,No,No,Yes,Cafeteria and Sports Bar,No
