ALL SKI AREAS WITH U.S.-BASED MULTIMOUNTAIN PASS MEMBERSHIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U.S. SKI AREAS WITH U.S.-BASED MULTIMOUNTAIN PASS MEMBERSHIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEW ENGLAND SKI AREAS WITH U.S.-BASED MULTIMOUNTAIN PASS MEMBERSHIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIDWEST SKI AREAS WITH U.S.-BASED MULTIMOUNTAIN PASS MEMBERSHIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JAPAN SKI AREAS WITH U.S.-BASED MULTIMOUNTAIN PASS MEMBERSHIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANADA SKI AREAS WITH U.S.-BASED MULTIMOUNTAIN PASS MEMBERSHIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUROPE SKI AREAS WITH U.S.-BASED MULTIMOUNTAIN PASS MEMBERSHIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Public, Chairlift-Served U.S.
Ski Areas Without National Pass
Affiliation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGIONAL BREAKDOWN,,CORE STATS,,,,,LIFT FLEET,,,,,,,,,,,,,,,,,,,,,PASS ACCESS,,,,,,,,,Public w/Aerial Lifts: 291,,REGIONAL BREAKDOWN,,CORE STATS,,,,,LIFT FLEET,,,,,,,,,,,,,,,,,,,,,PASS ACCESS,,,,,,,,,,REGIONAL BREAKDOWN,,CORE STATS,,,,,LIFT FLEET,,,,,,,,,,,,,,,,,,,,,PASS ACCESS,,,,,,,,,,REGIONAL BREAKDOWN,,CORE STATS,,,,,LIFT FLEET,,,,,,,,,,,,,,,,,,,,,PASS ACCESS,,,,,,,,,,PREFECTURES WITH 2+ MEMBER SKI AREAS,,CORE STATS,,,,,LIFT FLEET,,,,,,,,,,,,,,,,,,,,,PASS ACCESS,,,,,,,,,,REGIONAL BREAKDOWN,,CORE STATS,,,,,LIFT FLEET,,,,,,,,,,,,,,,,,,,,,PASS ACCESS,,,,,,,,,,Spain: 1,Czech Republic: 1,CORE STATS,,,,,LIFT FLEET,,,,,,,,,,,,,,,,,,,,,PASS ACCESS,,,,,,,,,,REGIONAL BREAKDOWN,,CORE STATS,,,,,LIFT FLEET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S.: 267,New Zealand: 3,Total Ski Areas: 451,,,Vail Resorts: 42,Epic: 71,Number of ski areas with this type of lift,,,,,,,,,,,,,,,,,,,,,"U=Unlimited | B=Blackouts apply | 2/5/7/10=2/5/7/10 days | 
S=shared days | M=Midweek access | C=Must use days consecutively",,,,,,,,,Public - Surface Lifts Only: 13,,West: 112,,Total Ski Areas: 271,,,Vail Resorts: 41,Epic: 37,Number of ski areas with this type of lift,,,,,,,,,,,,,,,,,,,,,"U=Unlimited | B=Blackouts apply | 2/5/7/10=2/5/7/10 days | 
S=shared days | M=Midweek access | C=Must use days consecutively",,,,,,,,,,Connecticut: 3,,Total Ski Areas: 50,,,Vail Resorts: 41,Epic: 7,Number of ski areas with this type of lift,,,,,,,,,,,,,,,,,,,,,"U=Unlimited | B=Blackouts apply | 2/5/7/10=2/5/7/10 days | 
S=shared days | M=Midweek access | C=Must use days consecutively",,,,,,,,,,Michigan: 16,Indiana: 1,Total Ski Areas: 58,,,Vail Resorts: 10,Epic: 10,Number of ski areas with this type of lift,,,,,,,,,,,,,,,,,,,,,"U=Unlimited | B=Blackouts apply | 2/5/7/10=2/5/7/10 days | 
S=shared days | M=Midweek access | C=Must use days consecutively",,,,,,,,,,Akita: 2,Hokkaido: 9,Total Ski Areas: 53,,,Hoshino Resorts: 2,Epic: 11,Number of ski areas with this type of lift,,,,,,,,,,,,,,,,,,,,,"U=Unlimited | B=Blackouts apply | 2/5/7/10=2/5/7/10 days | 
S=shared days | M=Midweek access | C=Must use days consecutively",,,,,,,,,,West: 29,East: 26,Total Ski Areas: 55,,,Resorts of the Canadian Rockies: 6,Epic: 7,Number of ski areas with this type of lift,,,,,,,,,,,,,,,,,,,,,"U=Unlimited | B=Blackouts apply | 2/5/7/10=2/5/7/10 days | 
S=shared days | M=Midweek access | C=Must use days consecutively",,,,,,,,,,Austria: 20,Norway: 2,Total Ski Areas: 61,,,,Epic: 13,Number of ski areas with this type of lift,,,,,,,,,,,,,,,,,,,,,"U=Unlimited | B=Blackouts apply | 2/5/7/10=2/5/7/10 days | 
S=shared days | M=Midweek access | C=Must use days consecutively",,,,,,,,,,West: 40,,Total Ski Areas: 117,,,Mountain Capital Partners: 11,Epic: 0,Number of ski areas with this type of lift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada: 55,Australia: 5,,,,Alterra: 20,Ikon: 103,29,5,105,11,6,19,102,21,204,229,222,6,261,10,8,107,35,49,119,325,,PASS MEMBERSHIP TOTALS,,,,,,,,,Private w/Aerial Lifts: 3,,East: 101,,,,,Alterra: 20,Ikon: 61,10,0,31,5,3,4,53,6,101,148,175,2,167,0,1,40,7,25,90,221,,PASS MEMBERSHIP TOTALS,,,,,,,,,,Rhode Island: 0,,,,,Alterra: 20,Ikon: 10,1,0,4,0,0,2,9,1,23,27,34,0,33,0,0,11,4,4,11,45,,PASS MEMBERSHIP TOTALS,,,,,,,,,,Minnesota: 13,Ohio: 4,,,,Boyne Resorts: 2,Ikon: 11,0,0,1,0,0,1,5,0,6,30,31,0,33,0,0,7,1,0,40,42,,PASS MEMBERSHIP TOTALS,,,,,,,,,,Gifu: 5,iwate: 5,,,,Prince Snow Resorts: 2,Ikon: 10,3,2,23,0,0,0,1,2,34,12,8,2,51,10,6,0,0,0,1,20,,PASS MEMBERSHIP TOTALS,,,,,,,,,,British Columbia: 22,Quebec: 17,,,,,Ikon: 13,1,0,12,2,1,1,7,1,26,41,18,0,18,0,0,21,0,9,4,35,,PASS MEMBERSHIP TOTALS,,,,,,,,,,France: 7,Scotland: 2,Total Countries: 15,,,,Ikon: 9,15,3,34,4,2,12,34,8,33,20,14,2,19,0,1,39,25,16,24,38,,PASS MEMBERSHIP TOTALS,,,,,,,,,,East: 43,,,,,Powdr: 3,Ikon: 0,0,0,3,0,0,0,8,0,25,48,60,0,79,0,1,12,0,9,63,75,,,,,,,,,,
Europe: 61,Chile: 3,Average of listed areas:,,,Boyne Resorts: 11,Indy: 250,Total lifts of this type across the portfolio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private - Surface Lifts Only: 1,,Midwest: 58,,Average of listed areas:,,,Boyne Resorts: 11,Indy: 150,Total lifts of this type across the portfolio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Massachusetts: 6,,Average of listed areas:,,,Boyne Resorts: 11,Indy: 30,Total lifts of this type across the portfolio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wisconsin: 13,Missouri: 2,Average of listed areas:,,,Midwest Family Ski Resorts: 4,Indy: 37,Total lifts of this type across the portfolio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gunma: 3,Nagano: 17,Average of listed areas:,,,Nippon Cable: 1,Indy: 32,Total lifts of this type across the portfolio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alberta: 7,Ontario: 5,Average of listed areas:,,,,Indy: 32,Total lifts of this type across the portfolio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Italy: 4,Sweden: 3,Average of listed areas:,,,,Indy: 39,Total lifts of this type across the portfolio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Midwest: 34,,Average of listed areas:,,,Wisconsin Resorts: 0,Indy: 0,Total lifts of this type across the portfolio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria: 20,Japan: 53,"1,795","1,390",218,Independent: 250,MC: 32,46,8,303,11,7,38,353,24,596,531,453,6,680,16,12,244,199,246,208,772,5994,71,52,104,84,53,249,33,,,,,,,"1,258",696,218,Independent: 250,MC: 17,10,0,46,5,3,5,104,6,318,311,376,2,354,0,1,47,7,35,147,479,2256,37,36,61,42,40,149,17,,,,Vermont: 14,,"1,365",325,146,Independent: 250,MC: 2,1,0,6,0,0,2,15,1,48,63,68,0,56,0,0,13,4,4,13,94,388,7,7,10,7,7,30,2,,,,Illinois: 2,North Dakota: 4,370,150,81,Independent: 39,,0,0,1,0,0,1,6,0,9,72,59,0,80,0,0,9,1,0,85,63,386,10,10,11,6,6,36,0,,,,Akita: 2,Niigata: 8,"1,973",399,421,Independent: 37,MC: 1,4,2,36,0,0,0,2,2,99,19,15,2,243,16,10,0,0,0,1,34,485,11,11,8,8,1,30,1,,,,,Newfoundland/Labrado: 2,"1,819","1,136",203,,MC: 8,1,0,17,2,1,1,15,1,68,76,26,0,29,0,0,25,0,12,4,68,346,5,1,13,12,12,28,8,49,,,Switzerland: 12,Turkey: 3,"3,956","14,963",208,,MC: 2,31,6,195,4,3,30,221,11,88,91,26,2,45,0,1,130,179,198,55,151,2708,12,3,8,8,0,30,3,,,,,,837,453,161,Independent: 250,MC: 0,0,0,3,0,0,0,9,0,57,95,118,0,142,0,1,15,0,9,115,143,707,,,,,,,,,
Switzerland: 12,,,,,,Snow: 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snow: 13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New Hampshire: 17,,,,,,Snow: 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Iowa: 1,South Dakota: 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snow: 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nova Scotia: 2,,,,,Snow: 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finland: 3,Germany: 1,,,,,Snow: 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snow: 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France: 7,,,,,,Power: 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maine: 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Norway: 2,Slovenia: 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Province,Ski Area,"Lift-
Served 
Vertical 
(Feet)","Lift-
Served 
Skiable 
Acres","Avg. 
Annual 
Snowfall 
(inches)",Owner,"National 
Pass",Tram,Funitel,Gondola,Pulse Gondola,Cabriolet,8-pack,6-pack,Chondola,Detach Quad,Fixed Quad,Triple,Detach Triple,Double,Detach Double,Single,T-Bar,J-Bar,Poma/platter,Ropetow,Carpet,Total Lifts,Epic,Epic Local,Ikon,Ikon Base,Ikon Session,Indy,Mountain Collective,"Years
Joined
Passes",REGION,Operating Class,,Province,Ski Area,"Lift-Served Vertical Drop 
(Feet)",Lift-Served Skiable Acres,Avg. Annual Snowfall (inches),Owner,"National 
Pass",Tram,Funitel,Gondola,Pulse Gondola,Cabriolet,8-pack,6-pack,Chondola,Detach Quad,Fixed Quad,Triple,Detach Triple,Double,Detach Double,Single,T-Bar,J-Bar,Poma/platter,Ropetow,Carpet,Total Lifts,Epic,Epic Local,Ikon,Ikon Base,Ikon Session,Indy,Mountain Collective,"Years
Joined
Passes",REGION,,Province,Ski Area,"Lift-Served Vertical Drop 
(Feet)",Lift-Served Skiable Acres,Avg. Annual Snowfall (inches),Owner,"National 
Pass",Tram,Funitel,Gondola,Pulse Gondola,Cabriolet,8-pack,6-pack,Chondola,Detach Quad,Fixed Quad,Triple,Detach Triple,Double,Detach Double,Single,T-Bar,J-Bar,Poma/platter,Ropetow,Carpet,Total Lifts,Epic,Epic Local,Ikon,Ikon Base,Ikon Session,Indy,Mountain Collective,"Years
Joined
Passes",REGION,,Province,Ski Area,"Lift-Served Vertical Drop 
(Feet)",Lift-Served Skiable Acres,Avg. Annual Snowfall (inches),Owner,"National 
Pass",Tram,Funitel,Gondola,Pulse Gondola,Cabriolet,8-pack,6-pack,Chondola,Detach Quad,Fixed Quad,Triple,Detach Triple,Double,Detach Double,Single,T-Bar,J-Bar,Poma/platter,Ropetow,Carpet,Total Lifts,Epic,Epic Local,Ikon,Ikon Base,Ikon Session,Indy,Mountain Collective,"Years
Joined
Passes",REGION,,Prefecture,Ski Area,"Lift-Served Vertical Drop 
(Feet)",Lift-Served Skiable Acres,Avg. Annual Snowfall (inches),Owner,"National 
Pass",,,,,,,,,,,,,,,,,,,,,Total Lifts,,,,,,,,"Years
Joined
Passes",,,Province,Ski Area,"Lift-Served Vertical Drop 
(Feet)",Lift-Served Skiable Acres,Avg. Annual Snowfall (inches),Owner,"National 
Pass",,,,,,,,,,,,,,,,,,,,,Total Lifts,,,,,,,,"Years
Joined
Passes",,,Country,Ski Area,"Lift-Served Vertical Drop 
(Feet)",Lift-Served Skiable Acres,Avg. Annual Snowfall (inches),Owner,"National 
Pass",,,,,,,,,,,,,,,,,,,,,Total Lifts,,,,,,,,"Years
Joined
Passes",,,Province,Ski Area,"Lift-Served Vertical Drop 
(Feet)",Lift-Served Skiable Acres,Avg. Annual Snowfall (inches),Owner,"National 
Pass",Tram,Funitel,Gondola,Pulse Gondola,Cabriolet,8-pack,6-pack,Chondola,Detach Quad,Fixed Quad,Triple,Detach Triple,Double,Detach Double,Single,T-Bar,J-Bar,Poma/platter,Ropetow,Carpet,Total Lifts,Epic,Epic Local,Ikon,Ikon Base,Ikon Session,Indy,Mountain Collective,"Years
Joined
Passes",REGION
Australia,Falls Creek,919 ,"1,112",157,Vail Resorts,Epic,,,,,,,,,2,5,1,,,,,,,3,,4,15,"U, 27",,,,,,,2018,Australia,,,U.S. - Alaska,Alyeska,"2,487 ","1,610",669,Independent,Ikon,1,,,,,,,,2,2,,,,,,,,,,2,7,,,7,5,"1-4, B, S",,,2023,U.S. - West,,U.S. - Connecticut,Mohawk Mountain,640 ,112,92,Independent,Indy,,,,,,,,,,,5,,,,,,,,,4,9,,,,,,2B,,2019,U.S. - East,,U.S. - Illinois,Chestnut,475 ,220,34,Independent,Indy,,,,,,,,,,2,4,,,,,,,,1,2,9,,,,,,2,,2022,U.S. - Midwest,,Japan (Akita),Ani Ski Resort (Mt. Moriyoshi),"2,175 ",,400,Independent,Indy,,,1,,,,,,,,,,2,,,,,,,,3,,,,,,2,,2023,Japan (Akita),,Canada - Alberta,Banff Sunshine,"3,514 ","3,358",360,Independent,"Ikon, MC",,,1,,,,1,,6,2,,,,,,,,,,2,12,,,7S,5SB,"1-4, B, S",,2,"2014, 2018",Canada - West,,Europe - Andorra,Grandvalira Resorts,"3,312 ","7,599",,Independent,Ikon,,,,,,,,,,,,,,,,,,,,,123,,,7,5,,,,2022,Europe - Andorra,,U.S. - Alaska,Hillberg,263 ,,,Independent,,,,,,,,,,,,,,1,,,,,,2,,3,,,,,,,,,U.S. - West
,Hotham,"1,296 ",605,118,Vail Resorts,Epic,,,,,,,,,,8,1,,,,,2,,,,3,14,"U, 27",,,,,,,2015,Australia,,,,Arctic Valley,"1,373 ",320,250,Independent,Indy,,,,,,,,,,,,,2,,,1,,,1,,4,,,,,,2,,2022,U.S. - West,,U.S. - Connecticut,Mount Southington,354 ,51,40,Independent,Snow Pass,,,,,,,,,,,3,,1,,,,,,,3,7,,,,,,,,"2023, 2026",U.S. - East,,U.S. - Illinois,Snowstar,262 ,28,39,Independent,Indy,,,,,,,,,,2,,,2,,,,,,,1,5,,,,,,2,,2023,U.S. - Midwest,,,Tazawako,"1,995 ",247,,Independent,Indy,,,,,,,,,2,,,,4,,,,,,,,6,,,,,,2,,2021,Japan (Akita),,Canada - Alberta,Castle Mountain,"2,854 ","3,592",335,Independent,Indy,,,,,,,,,1,,2,,2,,,1,,,,1,7,,,,,,2,,2019,Canada - West,,Europe - Austria,Heiligenblut am Großglockner,"5,253 ",,,,Indy,,,3,1,,,,,1,,,,,,,3,,2,1,1,12,,,,,,2,,2026,Europe - Austria,,U.S. - Arizona,Sunrise Park,"1,549 ","1,200",225,Independent,,,,,,,,,,1,2,2,,1,,,,,,1,1,8,,,,,,,,2019,U.S. - West
