storm_name	region	passes	status	atlas_name	winter_sports_id
Falls Creek	Australia	epic	override	Falls Creek	1210011762
Hotham	Australia	epic	override	Mount Hotham	1225428207
Mt. Buller	Australia	ikon,mountain_collective	override	Mount Buller	1225432526
Perisher	Australia	epic	override	Perisher	178133225
Thredbo	Australia	ikon	override	Thredbo Resort	499034347
Banff Sunshine	Canada - Alberta	ikon,mountain_collective	override	Banff Sunshine Village	739168515
Castle Mountain	Canada - Alberta	indy	override	Castle Mountain Resort	766056081
Lake Louise	Canada - Alberta	ikon,mountain_collective	override	Lake Louise Ski Area	1388611703
Marmot Basin	Canada - Alberta	mountain_collective	override	Marmot Basin	1244066741
Apex Mountain	Canada - British Columbia	indy	override	Apex Mountain Resort	1138569632
Big White	Canada - British Columbia	indy	exact_state	Big White Ski Resort	476836855
Fernie	Canada - British Columbia	epic	exact_state	Fernie Alpine Resort	1388612283
Grouse Mountain	Canada - British Columbia	ikon	exact_state	Grouse Mountain	1122543074
Hudson Bay Mountain	Canada - British Columbia	indy	exact_state	Hudson Bay Mountain	1135215380
Kicking Horse	Canada - British Columbia	epic	exact_state	Kicking Horse Resort	476843455
Kimberley	Canada - British Columbia	epic	exact_state	Kimberley Alpine Resort	1388616336
Manning Park	Canada - British Columbia	indy	exact_state	Manning Park Resort	1132263707
Panorama	Canada - British Columbia	ikon,mountain_collective	exact_state	Panorama Mountain Resort	476844342
Red Mountain	Canada - British Columbia	ikon	exact_state	Red Mountain Resort	397735832
Revelstoke	Canada - British Columbia	ikon,mountain_collective	exact_state	Revelstoke Mountain Resort	475720359
Sasquatch	Canada - British Columbia	indy	exact_state	Sasquatch Mountain Resort	476842734
Shames Mountain	Canada - British Columbia	indy	exact_state	Shames Mountain	1363000015
Silver Star	Canada - British Columbia	ikon	exact_state	Silver Star Mountain Resort	476840539
Sun Peaks	Canada - British Columbia	ikon,mountain_collective	exact_state	Sun Peaks Resort	1138470815
Whistler Blackcomb	Canada - British Columbia	epic	exact_state	Whistler Blackcomb	474288286
Cape Smokey	Canada - Nova Scotia	indy	exact_state	Ski Cape Smokey	670137935
Ski Martock	Canada - Nova Scotia		exact_state	Ski Martock	233886400
Blue Mountain	Canada - Ontario	ikon	exact_state	Blue Mountain Ski Resort	1040649718
Calabogie Peaks	Canada - Ontario	indy	exact_state	Calabogie Peaks	387979659
Hockley Valley	Canada - Ontario	indy	exact_state	Hockley Valley Resort	1254864403
Camp Fortune	Canada - Quebec	indy	exact_state	Camp Fortune	387976209
Centre Vorlage	Canada - Quebec	indy	exact_state	Centre Vorlage	387976210
Mont Habitant	Canada - Quebec	indy	exact_state	Mont Habitant	397906930
Mont Rigaud	Canada - Quebec	indy	exact_state	Ski Mont Rigaud	397906934
Mont Tremblant	Canada - Quebec	ikon	exact_state	Mont Tremblant Resort	671144531
Mont-Sainte Anne	Canada - Quebec	epic	exact_state	Mont-Sainte-Anne	391681261
Owl's Head	Canada - Quebec	indy	exact_state	Owl's Head	1232163832
Ski Saint-Bruno	Canada - Quebec	indy	containment	Ski Mont Saint-Bruno	397906935
Val D'Irene	Canada - Quebec	indy	containment	Parc régional de Val-d'Irène	400692634
Vallee Bleue	Canada - Quebec	indy	exact_state	Vallée Bleue	498378487
Corralco	Chile	indy	exact_country	Corralco	1412281678
Qiaoshan Beidahu	China - Jilin	ikon	containment	Beidahu Ski Resort	1232164322
Heiligenblut am Großglockner	Europe - Austria	indy	containment	Großglockner Heiligenblut ski area	341908909
Hochzeiger Bergbahnen Pitztal AG	Europe - Austria	indy	containment	Hochzeiger	539400408
Ischgl	Europe - Austria	ikon	alias	Ischgl-Samnaun	539395530
Kitzsteinhorn	Europe - Austria	epic	exact_country	Kitzsteinhorn	1266571967
Obertauern	Europe - Austria	indy	exact_country	Obertauern	341899728
Silvretta Montafon	Europe - Austria	epic	exact_country	Silvretta Montafon	539421257
Ski Arlberg	Europe - Austria	epic	exact_country	Ski Arlberg	539407909
Sölden	Europe - Austria	epic	exact_country	Sold	438793320
St. Johann (in Tirol/Oberndorf-Harschbichl)	Europe - Austria	indy	containment	St. Johann in Tirol	539015308
Levi	Europe - Finland	indy	exact_country	Levi Ski Resort	1107815765
Les 3 Vallées	Europe - France	epic	alias	The 3 Valleys	45117869
Les 7 Laux	Europe - France	indy	exact_country	Les 7 Laux	294826110
Valmorel (Le Grand Domaine)	Europe - France	indy	exact_country	Le Grand Domaine	601131988
Pila	Europe - Italy	indy	exact_country	Pila	45147901
Glencoe	Europe - Scotland	indy	exact_country	Glencoe Mountain Resort	258880201
Glenshee	Europe - Scotland	indy	exact_country	Glenshee Ski Center	1266093483
Krvavec	Europe - Slovenia	indy	exact_country	Krvavec	601126561
Björkliden	Europe - Sweden	indy	exact_country	Björkliden	691080634
Stöten i Sälen	Europe - Sweden	indy	exact_country	The shock in Sälen	1243554890
Crans-Montana	Europe - Switzerland	epic	exact_country	Crans-Montana	599002420
Engstligenalp (-Adelboden)	Europe - Switzerland	indy	exact_country	Engstligenalp	1449657505
Leukerbad Torrent Ski Resort (& Gemmi for Magic only?)	Europe - Switzerland	indy	containment	Leukerbad (Torrent)	1226017306
St. Moritz	Europe - Switzerland	ikon	exact_country	Samedan (St. Moritz)	642476176
Tschiertschen	Europe - Switzerland	indy	exact_country	Tschiertschen	601132890
Verbier 4 Vallées	Europe - Switzerland	epic	containment	4 Valleys – Verbier/La Tzoumaz/Nendaz/Veysonnaz/Thyon	660203241
Erciyes	Europe - Turkey	indy	exact_country	Erciyes Ski Resort	815651521
Palandoken Ski Resort	Europe - Turkey	indy	exact_country	Palandöken Ski Center	1476486723
Ani Ski Resort (Mt. Moriyoshi)	Japan (Akita)	indy	exact_state	Ani Ski Resort (Mt. Moriyoshi)	1201573953
Tazawako	Japan (Akita)	indy	exact_state	Tazawako Ski Resort	1201573017
Aomori Spring	Japan (Aomori)	indy	exact_state	Aomori Spring Resort	677033105
Dynaland Ski Resort	Japan (Gifu)	indy	exact_state	Dynaland Ski Area	1458947806
Hirugano Kogen Ski Resort	Japan (Gifu)	indy	exact_state	Hirugano Kogen Ski Resort	1189279617
Takasu Snow Park	Japan (Gifu)	indy	exact_state	Takasu Snow Park	1189278314
Washigatake	Japan (Gifu)	indy	exact_state	Washigatake Ski Area	1221231986
Hodaigi	Japan (Gunma)	indy	exact_state	Hodaigi Ski Resort	908946630
Palcall Tsumagoi	Japan (Gunma)	indy	containment	Palcall Tsumagoi Resort Ski & Hotel	1188381817
Canmore Ski Village	Japan (Hokkaido)	indy	exact_state	Canmore Ski Resort	667593226
Furano	Japan (Hokkaido)	ikon	exact_state	Furano ski resort	598421263
Kamui Ski Links	Japan (Hokkaido)	indy	exact_state	Kamui Ski Links	479915906
Kiroro	Japan (Hokkaido)	indy	exact_state	Kiroro Resort	1081650641
Nayoro Piyashiri	Japan (Hokkaido)	indy	exact_state	Nayoro Piyashiri	290283443
Rusutsu	Japan (Hokkaido)	epic	exact_state	Rusutsu Resort Ski Area	1081650975
Yubari (Mount Racey)	Japan (Hokkaido)	indy	exact_state	Mount Racey	1083653058
Appi Kogen Resort	Japan (Iwate)	ikon	exact_state	Appi Kogen Ski Resort	1087368359
Geto Kogen	Japan (Iwate)	indy	exact_state	Geto Kogen	1201571470
Hakuba Cortina Snow Resort	Japan (Nagano)	epic	exact_state	Hakuba Cortina	773558919
Hakuba Happo-One Snow Resort	Japan (Nagano)	epic	exact_state	Hakuba Happo One	771668333
Hakuba Norikura Onsen Snow Resort	Japan (Nagano)	epic	exact_state	Hakuba Norikura Onsen Ski Resort	546849385
Jiigatake Snow Resort	Japan (Nagano)	epic	exact_state	Jiigatake Snow Resort	324162841
Kurohime Kogen Snow Park	Japan (Nagano)	indy	exact_state	Kurohime Kogen	937080875
Madarao Kogen	Japan (Nagano)	ikon	exact_state	Madarao Kogen Mountain Resort	997044732
Tangram Ski Circus (Tangram Madarao)	Japan (Nagano)	indy	containment	Tangram Madarao Ski Circus	997044731
Togakushi	Japan (Nagano)	indy	exact_state	Togakushi Ski Area	936983347
Togari Onsen Ski Area	Japan (Nagano)	indy	exact_state	Togari Onsen Ski Resort	1174493817
Arai Snow Resort	Japan (Niigata)	ikon	exact_state	ARAI SNOW RESORT	937101624
Cupid Valley Ski Resort	Japan (Niigata)	indy	exact_state	Cupid Valley Ski Area	1458695224
Maiko Snow Resort	Japan (Niigata)	indy	exact_state	Maiko Snow Resort	679253285
Muica Snow Resort	Japan (Niigata)	indy	exact_state	Muica Snow Resort	626857453
Myoko Suginohara Ski Resort	Japan (Niigata)	ikon	exact_state	Myoko Suginohara Ski Resort	937086872
Ninox Snow Park	Japan (Niigata)	indy	exact_state	Ninox Snow Park	1208479232
Yuzawa Nakazato	Japan (Niigata)	indy	exact_state	Yuzawa Nakazato Ski Resort	680041845
Zao Onsen	Japan (Yamagata)	ikon	exact_state	Zao Onsen Ski Resort	488305112
Coronet Peak	New Zealand	ikon,mountain_collective	exact_country	Coronet Peak Ski Area	482928475
Mt. Hutt	New Zealand	ikon	exact_country	Mount Hutt Ski Area	627625381
The Remarkables	New Zealand	ikon,mountain_collective	exact_country	The Remarkables Ski Area	482928468
Alyeska	U.S. - Alaska	ikon	exact_state	Alyeska Resort	934351306
