storm_name	region	passes	guesses
Mt. Norquay	Canada - Alberta	ikon	
Nakiska	Canada - Alberta	epic	
Pass Powderkeg	Canada - Alberta	indy	
Baldy Mountain Resort	Canada - British Columbia	indy	
Cypress	Canada - British Columbia	ikon	
Fairmont Hot Springs	Canada - British Columbia	indy	
Mount Washington Alpine	Canada - British Columbia	indy	
Murray Ridge	Canada - British Columbia	indy	
Phoenix Mountain	Canada - British Columbia	indy	
Smokey Mountain Ski Club	Canada - Newfoundland & Labrador	indy	Ski Cape Smokey [canada/nova scotia 670137935] 0.50
Loch Lomond	Canada - Ontario	indy	
Mt. Baldy ON	Canada - Ontario	indy	
Bromont	Canada - Quebec	mountain_collective	
Le Massif du Charlevoix	Canada - Quebec	ikon,mountain_collective	
Massif du Sud	Canada - Quebec	indy	
Mont Edouard	Canada - Quebec	indy	
Mont Kanasuta	Canada - Quebec	indy	
Mont Sutton	Canada - Quebec	indy	
Stoneham	Canada - Quebec	epic	
La Parva	Chile		
Valle Nevado	Chile	ikon,mountain_collective	
Yunding Snow Park (Genting Resort Secret Garden)	China - Heibei	ikon	
Grandvalira Resorts	Europe - Andorra	ikon	
Hintertux	Europe - Austria	epic	
Innsbruck Ski & City Network	Europe - Austria	indy	
Kaunertaler Glacier	Europe - Austria	indy	
Kitzbühel	Europe - Austria	ikon	
Mayrhofen	Europe - Austria	epic	Mayrhofen Hippach [austria/tirol 539196496] 0.50
Petzen	Europe - Austria	indy	Skigebiet Petzen [austria/karnten 341888406] 0.50
Pitztaler Gletscherbahn	Europe - Austria	indy	
Rauriser-Hochalmbahnen	Europe - Austria	indy	
Saalbach	Europe - Austria	epic	
Ski Welt	Europe - Austria	indy	
Steinplatte Tyrol	Europe - Austria	indy	
Pyhä Ski Resort	Europe - Finland	indy	
Ruka	Europe - Finland	indy	
Chamonix Mont-Blanc Valley	Europe - France	ikon,mountain_collective	
Les Contamines Montjoie (inc. Hauteluce for lifts)	Europe - France	indy	
Megève	Europe - France	ikon,mountain_collective	
Oberstdorf-Kleinwalsertal	Europe - Germany	indy	
Dolomiti Superski	Europe - Italy	ikon	
Skirama Dolomiti	Europe - Italy	epic	
Valle d'Aosta	Europe - Italy	ikon	
Norejfell	Europe - Norway	indy	
Stranda Ski Resort (Strandafjellet?)	Europe - Norway	indy	
Baqueria Beret	Europe - Spain	indy	
Riksgränsen	Europe - Sweden	indy	
Andermatt-Sedrun	Europe - Switzerland	epic	
Disentis	Europe - Switzerland	epic	
Pizol	Europe - Switzerland	indy	
Zermatt Matterhorn	Europe - Switzerland	ikon	
Portes du Soleil	Europe - Switzerland, Europe - France	indy	
Kaya Palazzo Kartalkaya Dorukkaya (Dorukkaya - Bolu-Kartalkaya)	Europe - Turkey	indy	
Malá Úpa	Europe -Czech Republic	indy	
Nekoma Mountain	Japan (Fukushima)	ikon	
White Pia Takasu	Japan (Gifu)	indy	
Mt. T	Japan (Gunma)	ikon	
Niseko United	Japan (Hokkaido)	ikon,mountain_collective	
Pippu	Japan (Hokkaido)	indy	Pippu Ski Slopes [japan/hokkaido 478522135] 0.50
Amihari	Japan (Iwate)	indy	Amihari Onsen Ski Resort [japan/iwate 678520467] 0.50
Okunakayama Kogen	Japan (Iwate)	indy	
Shimokura-Panorama (Hachimantai Resort)	Japan (Iwate)	indy	
Onikoube	Japan (Miyagi)	indy	
Hakuba 47 Winter Sports Park	Japan (Nagano)	epic	Hakuba 47 [japan/nagano 771665619] 0.50
Kashimayari Ski Resort Family Park	Japan (Nagano)	epic	Kashimayari Snow Resort [japan/nagano 936980547] 0.50
Snow Resort the Cupid of Romance	Japan (Nagano)	indy	
Tsugaike Mountain Resort	Japan (Nagano)	epic	Tsugaike Kogen [japan/nagano 773558920] 0.50
Kandatsu Snow Resort	Japan (Niigata)	indy	Kandatsu Kogen Ski Resort [japan/niigata 948360186] 0.50
Mona Yongpyong	South Korea	ikon	Yongpyong Resort [south korea/gangwon 377688820] 0.50
Arctic Valley	U.S. - Alaska	indy	
Ski Land	U.S. - Alaska	indy	
Arizona Snowbowl	U.S. - Arizona		
Donner Ski Ranch	U.S. - California	indy	
June Mountain	U.S. - California	ikon	
Mountain High: East	U.S. - California	indy	
Mt. Shasta	U.S. - California	indy	
Northstar	U.S. - California	epic	
Palisades Tahoe: Alpine Meadows	U.S. - California	ikon	
Palisades Tahoe: Olympic	U.S. - California	ikon	
Sierra-at-Tahoe	U.S. - California	ikon	
Sugar Bowl	U.S. - California	mountain_collective	
Howelsen Hill	U.S. - Colorado	indy	
Kendall Mountain	U.S. - Colorado	indy	Kendall Mountain Recreation Area [united states/colorado 528962955] 0.50
Snowmass	U.S. - Colorado	ikon,mountain_collective	Aspen Snowmass [united states/colorado 1144096092] 0.50
Pebble Creek	U.S. - Idaho	indy	
Snowstar	U.S. - Illinois	indy	
Paoli Peaks	U.S. - Indiana	epic	
Bigrock	U.S. - Maine	indy	
Black Mountain of Maine	U.S. - Maine	indy	
Sugarloaf	U.S. - Maine	ikon,mountain_collective	Sugarloaf Outdoor Center [united states/maine 1233552673] 0.50
Sunday River	U.S. - Maine	ikon,mountain_collective	
Marquette Mountain (UP)	U.S. - Michigan	indy	
Mont Ripley (UP)	U.S. - Michigan	indy	
Shanty Creek - Schuss	U.S. - Michigan	indy	
Snowriver: Black River (UP)	U.S. - Michigan	ikon	Black River Basin [united states/michigan 473859023] 0.50
Snowriver: Jackson Creek (UP)	U.S. - Michigan	ikon	Jackson Creek Summit [united states/michigan 473859022] 0.50
The Highlands	U.S. - Michigan	ikon	Boyne Highlands Resort [united states/michigan 997160539] 0.50
Treetops	U.S. - Michigan	indy	
Elm Creek	U.S. - Minnesota	indy	
Showdown	U.S. - Montana	indy	Showdown Montana [united states/montana 837402306] 0.50
Crotched	U.S. - New Hampshire	epic	
Dartmouth Skiway	U.S. - New Hampshire	indy	
Pajarito	U.S. - New Mexico		
Sandia Peak	U.S. - New Mexico		
Sipapu	U.S. - New Mexico		
Taos Ski Valley	U.S. - New Mexico	ikon,mountain_collective	
Belleayre	U.S. - New York		
Cazenovia Ski Club	U.S. - New York	indy	
Hunter	U.S. - New York	epic	
Oak Mountain	U.S. - New York		
Skaneateles	U.S. - New York	indy	
Snow Ridge	U.S. - New York	indy	Maple Ski Ridge [united states/new york 1367181096] 0.50 | Ridge Runner [united states/new york 1465130028] 0.50
Swain	U.S. - New York	indy	
Bottineau Winter Park	U.S. - North Dakota	indy	
Thrill Hills	U.S. - North Dakota	indy	
Ski Sawmill	U.S. - Pennsylvania	indy	Ski Sawmill Family Resort [united states/pennsylvania 1235201198] 0.50
Nordic Valley	U.S. - Utah		
Middlebury Snowbowl	U.S. - Vermont	indy	
Crystal Mountain WA	U.S. - Washington	ikon	
Hurricane Ridge	U.S. - Washington	indy	
Leavenworth Ski Hill	U.S. - Washington	indy	
Snoqualmie: Alpental	U.S. - Washington	ikon	
Stevens Pass	U.S. - Washington	epic	
Snowshoe/Western Territory	U.S. - West Virginia	ikon	
Paul Bunyan	U.S. - Wisconsin	indy	
Antelope Butte	U.S. - Wyoming	indy	
Meadowlark	U.S. - Wyoming	indy	
